conceptualClassiCode,conceptualClassiName
888362,电子纸
888094,大数据
889225,工程咨询
888243,国产操作系统
888010,电子发票
889217,黑色家电
888267,数字货币
888005,在线教育
888209,微信小程序
888118,金融IC
888191,边缘计算
888015,智慧城市
888393,家庭医生
888014,云计算
888283,云办公
889180,航天装备
888349,数据安全
888292,RCS富媒体通信
888388,数字经济
888413,F5G概念
888334,富媒体
888206,网络安全
888012,国产软件
888374,东数西算（算力）
888006,数字中国
889159,通信设备
888387,电子身份证
888430,信创
888276,澳交所概念
888424,WiFi 6
889133,软件服务
888365,智慧政务
888355,DRG/DIP
888145,数字孪生
888366,算力概念
888151,网络切片
888391,华为鲲鹏
888330,鸿蒙概念
889151,保险行业
888395,疫情监测
888394,华为欧拉
